Chromosome 5'	Position 5'	Chromosome 3'	Position 3'	Gene 5'	Gene 3'	Cell line
19	49993179	1	36359916	RPL13A	EIF2C1	Calu-1
13	95264644	13	94938603	GPR180	GPC6	Calu-1
3	49372902	3	49413024	USP4	RHOA	OVMANA
2	112824644	2	112732866	TMEM87B	MERTK	OVMANA
11	14380309	11	14540587	RRAS2	PSMA1	OVMANA
11	14380309	11	14508050	RRAS2	COPB1	OVMANA
19	17346308	19	17444363	NR2F6	ANO8	OVMANA
11	65484278	19	49225258	KAT5	RASIP1	OVMANA
9	74810504	9	74586421	GDA	C9orf85	OVMANA
12	112451413	12	112143542	ERP29	ACAD10	OVMANA
11	9286508	11	9321248	DENND5A	TMEM41B	OVMANA
2	28268666	2	27595490	BRE	SNX17	OVMANA
17	72791771	17	29483001	TMEM104	NF1	TYK-nu
1	24020403	22	36684459	RPL11	MYH9	TYK-nu
19	3382241	19	3250983	NFIC	CELF5	TYK-nu
9	100774754	2	232325275	ANP32B	NCL	TYK-nu
19	11213462	3	10167310	LDLR	BRK1	RMUG-S
12	52631353	20	32439883	KRT7	CHMP4B	RMUG-S
19	44284855	19	49488862	KCNN4	GYS1	RMUG-S
7	26240192	7	44838846	HNRNPA2B1	PPIA	RMUG-S
12	104851292	12	104645305	CHST11	TXNRD1	RMUG-S
2	101767589	12	105742380	TBC1D8	C12orf75	RMG-I
19	45506254	19	45368528	RELB	PVRL2	RMG-I
17	37046757	20	2775285	LASP1	CPXM1	RMG-I
17	45385003	1	33256855	ITGB3	YARS	RMG-I
5	59982789	5	58511794	DEPDC1B	PDE4D	RMG-I
17	57697534	17	57987923	CLTC	RPS6KB1	RMG-I
17	59853762	17	61492889	BRIP1	TANC2	RMG-I
19	39138547	19	39338074	ACTN4	HNRNPL	RMG-I
1	32381496	3	190120126	PTP4A2	CLDN16	RKN
19	3193426	19	3110147	NCLN	GNA11	RKN
12	24995016	12	31106915	BCAT1	TSPAN11	RKN
11	120278532	11	120117158	ARHGEF12	POU2F3	RKN
2	219134105	2	219103387	AAMP	ARPC2	RKN
12	122150870	12	122380801	TMEM120B	WDR66	OVSAHO
9	129740024	9	130592106	RALGPS1	ENG	OVSAHO
1	46727057	1	46752171	RAD54L	LRRC41	OVSAHO
20	32307901	20	34320057	PXMP4	RBM39	OVSAHO
17	72868161	9	130073915	FDXR	GARNL3	OVSAHO
19	18632731	19	21948588	ELL	ZNF100	OVSAHO
7	1166893	17	36935782	C7orf50	PIP4K2B	OVSAHO
10	73956569	10	74183129	ASCC1	MICU1	OVSAHO
9	100774754	3	9854932	ANP32B	TTLL3	OVSAHO
2	216986976	9	114348445	XRCC5	PTGR1	OVKATE
10	52913090	4	53729435	PRKG1	RASL11B	OVKATE
4	84367988	4	84384761	HELQ	FAM175A	OVKATE
2	26453060	2	180311497	HADHA	ZNF385B	OVKATE
22	23637342	22	23437434	BCR	GNAZ	OVKATE
17	58018304	17	57889031	RPS6KB1	VMP1	COLO 680N
10	134219490	1	235856786	PWWP2B	LYST	COLO 680N
11	85584338	11	85670103	CCDC83	PICALM	COLO 680N
7	73098134	7	83636813	WBSCR22	SEMA3A	MCAS
16	2100487	16	2013257	TSC2	RPS2	MCAS
7	83634655	20	47557736	SEMA3A	ARFGEF2	MCAS
7	97984354	20	49493023	BAIAP2L1	BCAS4	MCAS
8	38899636	12	26377226	ADAM9	SSPN	MCAS
16	78198186	16	77896645	WWOX	VAT1L	OVTOKO
3	53289852	3	58739590	TKT	C3orf67	OVTOKO
14	50312858	14	50555913	NEMF	C14orf183	OVTOKO
1	206858853	1	206756601	MAPKAPK2	RASSF5	OVTOKO
17	18129077	17	18005235	LLGL1	DRG2	OVTOKO
3	49163180	16	57596296	LAMB2	GPR114	OVTOKO
14	62162557	8	144669022	HIF1A	EEF1D	OVTOKO
2	202688450	11	71931914	CDK15	FOLR2	OVTOKO
22	41745305	22	41609897	ZC3H7B	L3MBTL2	OVISE
3	141248644	6	44217114	RASA2	HSP90AB1	OVISE
2	232577226	3	108407670	PTMA	DZIP3	OVISE
19	50087209	19	49897733	PRRG2	CCDC155	OVISE
19	14574554	1	155349907	PKN1	ASH1L	OVISE
10	34985246	2	86676930	PARD3	KDM3A	OVISE
7	107626467	7	107664623	LAMB1	LAMB4	OVISE
13	60384922	1	167042776	DIAPH3	GPA33	OVISE
3	46982488	3	12983365	CCDC12	IQSEC1	OVISE
3	11389509	3	143515745	ATG7	SLC9A9	OVISE
7	5567912	X	47061555	ACTB	UBA1	OVISE
17	29315124	17	35742947	RNF135	C17orf78	KURAMOCHI
1	145663367	12	27529279	RNF115	ARNTL2	KURAMOCHI
