breakpointID	unique_samples
4:10068163-5:69308581	2
6:73489274-19:55386350	2
14:102000717-6:106974754	2
3:69100069-6:106974754	2
5:151684611-19:2273010	2
15:64821912-1:20651998	2
10:71841710-3:197951189	2
1:1442852-1:1497046	2
9:100442356-9:100498765	2
16:78726461-8:11843820	2
7:56021119-7:23453125	2
10:42752102-22:15823198	2
14:105798890-19:18280040	2
8:101577519-8:101293245	2
12:54017414-12:54047769	2
X:153509048-21:26062262	2
2:160195369-2:160258046	2
2:11820514-2:55416942	2
1:154176854-6:106971834	2
6:35798941-6:35786998	2
1:8026158-1:8113567	2
3:105569083-7:5527499	2
16:2771024-5:151662609	2
1:154586957-12:54854563	2
2:237334773-14:105743067	2
3:111394821-3:111259319	2
6:73497170-1:32682769	2
3:23217312-3:29434743	2
2:61514062-6:106974754	2
3:164960375-3:165002959	2
20:58671297-20:58691724	2
9:42972623-6:110858924	2
8:60743097-8:61376605	2
17:36183619-17:36211776	2
5:17276731-8:40392779	2
18:7567891-18:7079320	2
17:75925457-14:105743073	2
8:11864697-1:203181285	2
19:48965481-5:179811525	2
3:111496888-3:111239232	2
2:38354067-6:106971834	2
2:88857293-10:102376118	2
2:89111866-12:54854562	2
19:13778756-2:88857683	2
2:89111866-1:156742827	2
14:89931541-14:89629136	2
17:2653951-6:106974754	2
2:88857322-1:65009397	2
10:71816338-8:56074456	2
4:70234561-2:88857683	2
4:683210-4:673401	2
X:53613748-7:5527498	2
2:88857238-1:234397234	2
6:73517529-8:115477824	2
4:87498455-2:189011953	2
10:102398145-14:105743074	2
7:43665658-9:89821251	2
16:70662237-16:70659618	2
11:61967458-7:100673823	2
1:26239838-1:26197686	2
2:110084007-21:33437286	2
2:158734728-2:158502652	2
6:73503127-1:184791972	2
17:67894162-17:68037385	2
22:26524480-10:37340116	2
9:42972622-6:110858924	2
1:46905969-1:47029990	2
1:45542528-7:94430472	2
2:10784934-2:10770055	2
19:804438-19:726138	2
18:32092886-18:32068298	2
7:6046777-6:106974754	2
1:64867865-6:106974754	2
X:153509048-2:89092520	2
2:180724690-2:180982018	2
2:88983961-7:100037862	2
1:40075130-6:106971834	2
19:9344225-19:9364862	2
10:87933251-10:88016243	2
2:215385795-5:151268682	2
12:124003540-6:106971834	2
17:41634536-6:106971834	2
12:14880829-8:96233227	2
16:56942237-16:56570776	2
4:77908375-6:106974754	2
2:110084004-21:33437286	2
12:12914764-6:73511655	2
11:66617550-11:66646027	2
7:100741978-7:100723111	2
7:26212581-2:215423214	2
17:49059668-17:39211302	2
11:61967432-16:29806401	2
2:89142574-1:8867841	2
19:541659-14:105708664	2
10:69507649-9:111934341	2
7:26212582-2:88998240	2
1:151178001-1:151173615	2
16:30070501-19:48617877	2
9:121323384-19:48965491	2
6:34417461-2:88951636	2
2:88862995-17:39211302	2
20:37301413-20:37365204	2
2:88857122-3:51995469	2
2:189011985-14:102081500	2
X:149499229-6:106974754	2
5:181241430-2:20201314	2
19:38248503-2:88857683	2
3:195577062-22:35617265	2
14:102000717-6:106971834	2
X:71271296-2:215361077	2
11:1753327-14:105683123	2
16:3661991-2:88857683	2
2:61514062-6:106971834	2
2:215401090-16:46663111	2
7:30923621-2:88857683	2
14:106594401-4:70234063	2
6:73510899-17:81843479	2
X:153509058-5:151685459	2
X:12976762-6:30725269	2
11:96590474-7:120752432	2
2:88857179-2:189033501	2
2:85569491-2:88857683	2
15:65884976-19:48965489	2
3:111412905-3:111239232	2
1:11988516-2:27693685	2
11:35226418-14:105644792	2
8:96334440-8:96366385	2
10:102398145-14:105669847	2
7:94397746-14:21234229	2
16:3058669-16:3065784	2
1:733307-1:913046	2
4:76058625-8:65533124	2
11:66625678-11:66646027	2
2:88857293-17:82882016	2
21:39342324-2:89130296	2
2:88952861-19:53875850	2
1:19556134-14:105743071	2
6:44253923-8:96233227	2
1:86900680-14:105743074	2
1:154176854-6:106974754	2
19:9693694-19:9653881	2
7:5540676-1:203181285	2
1:42701546-17:50184466	2
3:69100069-6:106971834	2
15:64156389-14:105743073	2
1:8817160-1:9058250	2
22:23767834-22:23753198	2
X:1350530-3:10152311	2
19:54384353-19:11450413	2
7:128615957-11:168969	2
19:14388818-19:14772497	2
2:188996284-1:155336371	2
7:102822040-7:102703527	2
9:121248323-6:106971834	2
2:89149998-2:10784191	2
12:6237140-6:106971836	2
X:71288534-6:106971834	2
11:33733495-19:11450646	2
12:69353506-2:215429027	2
2:88947305-19:2121330	2
11:18408464-3:51995469	2
2:88983337-19:16552358	2
2:90220965-Y:11474056	2
X:153509048-2:88998240	2
19:14381261-19:14777023	2
3:33142664-6:73492112	2
1:805799-7:55796092	2
18:49578178-18:49501731	2
19:16095893-6:106971834	2
15:63070303-8:100715166	2
1:203814972-6:106971834	2
2:38354067-6:106974754	2
1:64867865-6:106971834	2
Y:8665303-12:27800352	2
12:12914764-6:73515519	2
X:1344702-3:10152299	2
2:37104015-6:106974754	2
7:26212582-2:89034798	2
19:41863985-6:106974754	2
8:101202333-6:106974754	2
8:127794734-8:127006555	2
2:19354399-7:103099576	2
15:63070304-2:88886907	2
2:74159091-7:5527611	2
15:75883424-15:75913203	2
19:22052635-19:21640625	2
3:132713126-3:138131282	2
14:105741355-5:138621955	2
1:733307-1:913191	2
3:53237797-6:106974754	2
2:88857293-20:33829440	2
6:167995513-6:167978370	2
16:85425025-2:88857683	2
15:43750088-15:44717672	2
2:88857234-22:38485973	2
16:18858211-16:22513764	2
1:58576189-1:58536741	2
2:88857293-7:885658	2
3:149380050-3:149487619	2
1:32662337-6:106971834	2
2:89149998-2:10784190	2
13:114337626-13:114346167	2
14:106416659-8:56074456	2
8:127794734-8:127733959	2
7:5527271-14:90971328	2
19:1106396-14:105743071	2
20:3870975-6:73510824	2
2:51442042-1:59554124	2
4:56681255-8:28428736	2
1:22074219-6:106971834	2
10:27097667-12:98549120	2
20:35544819-14:102081301	2
7:5544501-8:133250539	2
2:88857176-20:49030458	2
8:11843849-16:78726434	2
14:55601880-6:106971834	2
2:188997025-1:155336371	2
2:88857161-7:74657667	2
11:66617057-11:66665856	2
14:49580888-12:54854563	2
2:88857240-1:154608842	2
6:73510899-6:10730770	2
13:39014122-13:39014133	2
7:26212583-15:40563710	2
1:204201633-1:204192914	2
1:22067348-7:94430472	2
1:20651997-11:107665808	2
3:32239119-3:32441840	2
6:106969973-21:26006884	2
11:9597197-11:9694146	2
11:66617057-11:66643859	2
14:77507622-2:88934873	2
8:101202333-6:106971834	2
19:38290575-19:38304181	2
4:105552193-4:105456745	2
10:110303468-10:110442374	2
12:53673696-6:106971834	2
4:40629396-4:40707742	2
6:106970267-2:88993393	2
X:71299758-6:106971834	2
6:75075944-6:74636631	2
3:195577062-6:106971834	2
17:41634536-6:106974754	2
10:49885203-10:42791627	2
9:121248323-6:106974754	2
1:223141648-6:106974754	2
2:10787281-2:10770055	2
5:127056397-9:89821251	2
X:153509048-2:89034798	2
13:45391737-8:30678373	2
17:2653951-6:106971834	2
19:54212086-7:5527258	2
11:65239476-1:150719538	2
11:102448812-11:102553965	2
18:3267999-7:94430983	2
8:98043900-6:42888389	2
19:541659-14:105743070	2
7:6046777-6:106971834	2
5:93504592-9:89821251	2
17:78975812-19:3976264	2
19:16077943-6:106970647	2
7:26171547-8:56074450	2
2:37104015-6:106971834	2
14:106430379-19:12944115	2
5:141350299-5:141494807	2
11:6449306-11:6440730	2
16:56942237-16:56559382	2
7:99377647-7:94430478	2
8:11843800-11:63685009	2
3:53237797-6:106971834	2
10:102398145-14:105743073	2
2:47160180-2:89025614	2
1:40075130-6:106974754	2
X:1330556-3:10152299	2
2:88857176-4:73251545	2
6:149346596-6:106971834	2
20:58898270-10:71817384	2
2:130300391-2:130196371	2
4:190174936-18:20959849	2
20:17601273-19:48965489	2
14:90861897-7:5527258	2
13:45391737-8:30678372	2
6:73494559-19:11450413	2
1:119670663-6:106971834	2
9:137272615-9:137278653	2
1:230843354-1:230710853	2
2:88857243-3:182893332	2
10:27085118-12:98549120	2
10:87933251-10:88057994	2
6:29663325-1:20651838	3
6:73491265-22:37806728	3
5:140788684-5:140978949	3
1:94638437-6:106974754	3
2:190971289-2:88857683	3
2:88865344-X:153509070	3
7:94431047-X:15526081	3
1:733307-1:908382	3
2:88857241-1:183077548	3
