fusionTranscriptID	fusionGenePair	breakpointID	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
RBFA::ATR__18:80034653-3:142484366	RBFA::ATR	18:80034653-3:142484366	+	+	CDS/splice-site	intron	translocation/5'-5'	high	HCC-95	Arriba
LRP8::AL365445.1(3000),DMRTB1(15053)__1:53267764-1:53444346	LRP8::AL365445.1(3000),DMRTB1(15053)	1:53267764-1:53444346	-	-	exon	intergenic	duplication	high	HCC-95	Arriba
LAMA5::AL499627.2(3220),AL499627.1(32095)__20:62333901-20:62481814	LAMA5::AL499627.2(3220),AL499627.1(32095)	20:62333901-20:62481814	-	-	CDS/splice-site	intergenic	duplication	high	HCC-95	Arriba
RAB10::KIF3C__2:26034735-2:25943184	RAB10::KIF3C	2:26034735-2:25943184	+	+	CDS/splice-site	intron	duplication/5'-5'	high	HCC-95	Arriba
TMED7::TICAM2__5:115616318-5:115581315	TMED7::TICAM2	5:115616318-5:115581315	-	-	CDS	5'UTR/splice-site	deletion/read-through	high	HCC-95	Arriba
TET3::LINC01800(19214),LINC02245(19000)__2:73986706-2:64882840	TET3::LINC01800(19214),LINC02245(19000)	2:73986706-2:64882840	+	-	CDS/splice-site	intergenic	inversion	high	HCC-95	Arriba
IQGAP1::ZNF774__15:90390873-15:90354642	IQGAP1::ZNF774	15:90390873-15:90354642	+	+	CDS/splice-site	5'UTR/splice-site	duplication	high	HCC-95	Arriba
IQGAP1::ZNF774__15:90390873-15:90358851	IQGAP1::ZNF774	15:90390873-15:90358851	+	+	CDS/splice-site	CDS/splice-site	duplication	high	HCC-95	Arriba
LBR::HMGB1P26(19564),LINC01682(87492)__1:225423911-1:229725425	LBR::HMGB1P26(19564),LINC01682(87492)	1:225423911-1:229725425	-	-	CDS/splice-site	intergenic	duplication	high	HCC-95	Arriba
TAF3::GATA3__10:7977323-10:8069473	TAF3::GATA3	10:7977323-10:8069473	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	high	HCC-95	Arriba
PPP2R3A::GCNT2__3:135965849-6:10527474	PPP2R3A::GCNT2	3:135965849-6:10527474	+	+	5'UTR/splice-site	5'UTR/splice-site	translocation	high	HCC-95	Arriba
PPP2R3A::GCNT2__3:135965849-6:10621351	PPP2R3A::GCNT2	3:135965849-6:10621351	+	+	5'UTR/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
PPP2R3A::GCNT2__3:135965849-6:10528631	PPP2R3A::GCNT2	3:135965849-6:10528631	+	+	5'UTR/splice-site	5'UTR/splice-site	translocation	high	HCC-95	Arriba
NCOA2::TRAM1__8:70370412-8:70583793	NCOA2::TRAM1	8:70370412-8:70583793	-	-	intron	CDS/splice-site	duplication	high	HCC-95	Arriba
NCOA2::TRAM1__8:70402163-8:70583793	NCOA2::TRAM1	8:70402163-8:70583793	-	-	5'UTR/splice-site	CDS/splice-site	duplication	high	HCC-95	Arriba
NCOA2::TRAM1__8:70403700-8:70583793	NCOA2::TRAM1	8:70403700-8:70583793	-	-	5'UTR/splice-site	CDS/splice-site	duplication	high	HCC-95	Arriba
PPP2CB::TEX15__8:30812320-8:30849316	PPP2CB::TEX15	8:30812320-8:30849316	-	-	CDS/splice-site	CDS/splice-site	duplication	high	HCC-95	Arriba
TOR1AIP1::LINC01720__1:179884769-1:190659873	TOR1AIP1::LINC01720	1:179884769-1:190659873	+	-	CDS/splice-site	intron	inversion/3'-3'	high	HCC-95	Arriba
NFKBIL1::NFKBIL1(1893),LTA(11332)__6:31548439-6:31560722	NFKBIL1::NFKBIL1(1893),LTA(11332)	6:31548439-6:31560722	+	-	CDS/splice-site	intergenic	inversion	high	HCC-95	Arriba
MOB1A::SERTAD2__2:74165218-2:64677841	MOB1A::SERTAD2	2:74165218-2:64677841	-	-	CDS/splice-site	intron	deletion	high	HCC-95	Arriba
MOB1A::SERTAD2__2:74165218-2:64636875	MOB1A::SERTAD2	2:74165218-2:64636875	-	-	CDS/splice-site	5'UTR/splice-site	deletion	high	HCC-95	Arriba
MSANTD3::KLF4(18951),AL389915.1(24957)__9:100442356-9:107509433	MSANTD3::KLF4(18951),AL389915.1(24957)	9:100442356-9:107509433	+	-	CDS/splice-site	intergenic	inversion	high	HCC-95	Arriba
NELL2(29370),DBX2(63454)::ZNF622__12:44951218-5:16463740	NELL2(29370),DBX2(63454)::ZNF622	12:44951218-5:16463740	-	-	intergenic	CDS/splice-site	translocation	high	HCC-95	Arriba
TNNT1::AC026803.1(493),DHDH(6762)__19:55137103-19:48926937	TNNT1::AC026803.1(493),DHDH(6762)	19:55137103-19:48926937	-	-	CDS/splice-site	intergenic	deletion	high	HCC-95	Arriba
MSANTD3::PPIAP88(30519),RNU6-996P(89005)__9:100442356-9:107574135	MSANTD3::PPIAP88(30519),RNU6-996P(89005)	9:100442356-9:107574135	+	-	CDS/splice-site	intergenic	inversion	high	HCC-95	Arriba
LDLRAD3::AC104042.1(929218),AC061997.1(75040)__11:36098461-11:37627085	LDLRAD3::AC104042.1(929218),AC061997.1(75040)	11:36098461-11:37627085	+	+	CDS/splice-site	intergenic	deletion	high	HCC-95	Arriba
TPST1::TRIM47__7:66286709-17:75876813	TPST1::TRIM47	7:66286709-17:75876813	+	-	CDS/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
TPST1::TRIM47__7:66286709-17:75876492	TPST1::TRIM47	7:66286709-17:75876492	+	-	CDS/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
SYK::ROR2__9:90845594-9:91631904	SYK::ROR2	9:90845594-9:91631904	+	-	CDS/splice-site	intron	inversion	high	HCC-95	Arriba
SYK::ROR2__9:90845594-9:91563329	SYK::ROR2	9:90845594-9:91563329	+	-	CDS/splice-site	3'UTR/splice-site	inversion	high	HCC-95	Arriba
LRFN5(7162),AL445074.1(348020)::LRFN5__14:41911711-14:41886606	LRFN5(7162),AL445074.1(348020)::LRFN5	14:41911711-14:41886606	+	+	intergenic	5'UTR/splice-site	duplication	high	HCC-95	Arriba
A4GALT::CRYBB1__22:42720797-22:26612190	A4GALT::CRYBB1	22:42720797-22:26612190	-	-	5'UTR/splice-site	CDS/splice-site	deletion	high	HCC-95	Arriba
A4GALT::CRYBB1__22:42720797-22:26616338	A4GALT::CRYBB1	22:42720797-22:26616338	-	-	5'UTR/splice-site	5'UTR/splice-site	deletion	medium	HCC-95	Arriba
A4GALT::CRYBB1__22:42721165-22:26612190	A4GALT::CRYBB1	22:42721165-22:26612190	-	-	exon/splice-site	CDS/splice-site	deletion	low	HCC-95	Arriba
EPB41L1::NR4A3__20:36092813-9:99863620	EPB41L1::NR4A3	20:36092813-9:99863620	+	+	5'UTR/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
EPB41L1::NR4A3__20:36091875-9:99863620	EPB41L1::NR4A3	20:36091875-9:99863620	+	+	5'UTR/splice-site	CDS/splice-site	translocation	high	HCC-95	Arriba
EPB41L1::NR4A3__20:36091612-9:99863620	EPB41L1::NR4A3	20:36091612-9:99863620	+	+	5'UTR/splice-site	CDS/splice-site	translocation	medium	HCC-95	Arriba
LRP8::SLC25A3P1__1:53271028-1:53417666	LRP8::SLC25A3P1	1:53271028-1:53417666	-	-	CDS/splice-site	exon/splice-site	duplication	high	HCC-95	Arriba
