fusionGenePair	tumorAnnotations
A1BG::ITIH4	Adenocarcinoma
A2M::ALK	Inflammatory myofibroblastic tumor/myofibroblastic sarcoma | Soft tissue tumor, special type
A2M::ARFGEF2	Adenocarcinoma
A2M::CCT5	Adenocarcinoma
A2M::CLEC2A	Adenocarcinoma
A2M::FAR1	Adenocarcinoma
A2M::SERPINA1	Adenocarcinoma
A2M::TMEM52B	Adenocarcinoma
AAAS::ATP5MC2	Transitional cell carcinoma
AAAS::ITGB7	Squamous cell carcinoma
AACS::DNAH10	Adenocarcinoma
AACS::MAL	Adenocarcinoma
AACS::TMEM132B	Astrocytoma, grade I-II
AAGAB::SMAD3	Mesenchymal tumor, NOS
AAK1::C2ORF42	Adenocarcinoma
AAK1::C2orf42	Adenocarcinoma
AAK1::GALNT14	Squamous cell carcinoma
AAK1::KCMF1	Adenocarcinoma
AAK1::LHX2	Malignant epithelial tumor, special type
AAK1::RPIA	Adenocarcinoma
AAK1::WFDC13	Squamous cell carcinoma
AAMDC::RSF1	Adenocarcinoma
AAMDC::SCGB1D1	Squamous cell carcinoma
AAMDC::SPCS2	Adenocarcinoma
AAMDC::TMEM135	Adenocarcinoma
AAMP::MARCHF4	Squamous cell carcinoma
AARS1::COG4	Adenocarcinoma
AARS1::PPP1R13B	Adenocarcinoma
AARS1::ST3GAL2	Adenocarcinoma
AARS2::SPATS1	Adenocarcinoma
AARSD1::CCR7	Adenocarcinoma
AARSD1::CHRNB1	Malignant epithelial tumor, special type
AARSD1::FBXL20	Transitional cell carcinoma
AARSD1::RGS9	Squamous cell carcinoma
AASDH::CC2D2A	Adenocarcinoma
AASDH::LRRC66	Astrocytoma, grade III-IV/Glioblastoma
AASDHPPT::ABTB2	Adenocarcinoma
AASDHPPT::CARD16	Transitional cell carcinoma
AASS::CADPS2	Squamous cell carcinoma
AASS::DNM3	Mesenchymal tumor, NOS
AATF::ACACA	Adenocarcinoma
AATF::AP2B1	Mesenchymal tumor, NOS
AATF::FTL	Squamous cell carcinoma
AATF::GOSR2	Adenocarcinoma
AATF::KRT15	Adenocarcinoma
AATF::LIG3	Adenocarcinoma
AATF::PCDH11X	Squamous cell carcinoma
AATF::TADA2A	Adenocarcinoma
AATF::UBE2G1	Adenocarcinoma
AATK::FOXP1	Adenocarcinoma
AATK::LAMA5	Adenocarcinoma
AATK::USP32	Adenocarcinoma
ABAT::MARF1	Astrocytoma, grade I-II
ABAT::USP7	Adenocarcinoma
ABAT::VPS35L	Adenocarcinoma
ABCA12::MICU1	Squamous cell carcinoma
ABCA12::SGPP2	Adenocarcinoma
ABCA13::BLVRA	Squamous cell carcinoma
ABCA13::CAP1	Squamous cell carcinoma
ABCA1::HDHD3	Adenocarcinoma
ABCA1::PTGR1	Squamous cell carcinoma
ABCA1::RAB5C	Transitional cell carcinoma
ABCA1::ZBTB26	Squamous cell carcinoma
ABCA1::ZBTB6	Squamous cell carcinoma
ABCA1::ZNF483	Malignant melanoma
ABCA2::TRIM14	Astrocytoma, grade I-II
ABCA3::ATP23	Astrocytoma, grade I-II
ABCA3::RPS16	Multiple myeloma
ABCA5::BCAS3	Adenocarcinoma
ABCA5::C17ORF67	Squamous cell carcinoma
ABCA5::C17orf67	Squamous cell carcinoma
ABCA5::DSCAM	Acute myeloid leukemia, NOS | Skin
ABCA5::MBTD1	Squamous cell carcinoma
ABCA6::LIG3	Adenocarcinoma
ABCA7::CIRBP	Transitional cell carcinoma
ABCA7::COL5A3	Adenocarcinoma
ABCA7::STK11	Transitional cell carcinoma
ABCA9::CEP112	Mesenchymal tumor, NOS
ABCA9::TANC2	Mesenchymal tumor, NOS
ABCB1::GIPC1	Adenocarcinoma
ABCB4::TMEM169	Adenocarcinoma
ABCB7::ACSS2	Adenocarcinoma
ABCB8::IQCA1L	Adenocarcinoma
ABCB8::NOS3	Adenocarcinoma
ABCB9::EIF2B1	Adenocarcinoma
ABCB9::MPHOSPH9	Squamous cell carcinoma
ABCC10::PPP2R5D	Adenocarcinoma
ABCC1::DLGAP1	Adenocarcinoma
ABCC1::NDE1	Squamous cell carcinoma
ABCC1::PRKCB	Adenocarcinoma
ABCC2::CTNNA3	Adenocarcinoma
ABCC2::TSPAN14	Adenocarcinoma
ABCC2::UQCC5	Adenocarcinoma
ABCC3::ACSF2	Adenocarcinoma
ABCC3::BCAN	Adenocarcinoma
ABCC3::DHDH	Adenocarcinoma
ABCC3::KAT7	Adenocarcinoma
ABCC3::TMEM104	Adenocarcinoma
ABCC3::XYLT2	Adenocarcinoma
ABCC4::ABCB4	Squamous cell carcinoma
ABCC4::CCDC169	Adenocarcinoma
ABCC4::COL4A2	Adenocarcinoma
ABCC4::ETV4	Adenocarcinoma
ABCC4::PTPN4	Malignant melanoma
ABCC4::UGGT2	Malignant epithelial tumor, special type
ABCC5::ATP11B	Squamous cell carcinoma
ABCC5::DCUN1D1	Squamous cell carcinoma
ABCC5::NAALADL2	Adenocarcinoma
ABCC5::SPRR4	Malignant melanoma
ABCC6::LTA4H	Adenocarcinoma
ABCC6::PHAF1	Acute myeloid leukemia, NOS | Skin
ABCC9::DMKN	Adenocarcinoma
ABCC9::RASSF8	Adenocarcinoma
ABCD3::ABCA4	Adenocarcinoma
ABCD3::AK5	Squamous cell carcinoma
ABCD3::ARHGAP29	Transitional cell carcinoma
ABCD3::DPYD	Adenocarcinoma
ABCD3::GAP43	Mature B-cell neoplasm, NOS
ABCD3::KMT2E	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ABCD4::MIDEAS	Adenocarcinoma
ABCF1::POLR1H	Mature B-cell neoplasm, NOS
ABCF1::PRR3	Adenocarcinoma
ABCF1::SHC2	Astrocytoma, grade I-II
ABCF2::WDR86	Mesenchymal tumor, NOS
ABCF3::PLEKHB2	Adenocarcinoma
ABCG1::BACE2	Adenocarcinoma
ABCG1::BTG3	Adenocarcinoma
ABCG1::CCDC134	Squamous cell carcinoma
ABCG1::DSCAM	Acute myeloid leukemia, NOS | Skin
ABCG1::MEI1	Squamous cell carcinoma
ABHD12::ENTPD6	Squamous cell carcinoma
ABHD12::ERVFRD-1	Adenocarcinoma
ABHD12::GINS1	Adenocarcinoma
ABHD12::KIF16B	Squamous cell carcinoma
ABHD12::PPP2R2A	Adenocarcinoma
ABHD12::TTI1	Squamous cell carcinoma
ABHD12::UQCC1	Squamous cell carcinoma
ABHD12B::RNASE1	Squamous cell carcinoma
ABHD13::IRS2	Squamous cell carcinoma
ABHD14B::POC1A	Adenocarcinoma | Malignant epithelial tumor, special type
ABHD16A::CLIC1	Adenocarcinoma
ABHD16A::LY6G6F	Squamous cell carcinoma
ABHD16A::VARS1	Transitional cell carcinoma
ABHD17A::AP3D1	Adenocarcinoma
ABHD17A::TCF3	Adenocarcinoma
ABHD17B::CCL25	Adenocarcinoma
ABHD17C::BHLHE41	Adenocarcinoma
ABHD17C::HMG20A	Astrocytoma, grade I-II
ABHD17C::PRAMEF6	Transitional cell carcinoma
ABHD17C::RET	Adenocarcinoma
ABHD17C::SCAPER	Malignant melanoma
ABHD18::SLC25A31	Adenocarcinoma
ABHD2::ACAN	Adenocarcinoma
ABHD2::BIRC6	Transitional cell carcinoma
ABHD3::ANKRD29	Adenocarcinoma
ABHD4::PSMB11	Adenocarcinoma
ABHD6::FLNB	Adenocarcinoma
ABHD8::ILKAP	Transitional cell carcinoma
ABI1::CCDC7	Adenocarcinoma
ABI1::CUBN	Malignant melanoma
ABI1::PTP4A3	Astrocytoma, grade I-II
ABI2::ALK	Squamous cell carcinoma
ABI2::CARF	Adenocarcinoma
ABI2::CHMP1A	Embryonal nervous system tumor, special type
ABI2::CLK1	Skin | Acute myeloid leukemia, NOS
ABI2::CYP20A1	Adenocarcinoma
ABI2::FAM117B	Adenocarcinoma
ABI2::HEXIM2	Astrocytoma, grade I-II
ABI2::MAIP1	Squamous cell carcinoma
ABI2::MTA3	Adenocarcinoma
ABI2::PPP1R1C	Adenocarcinoma
ABI2::SPATS2L	Adenocarcinoma
ABI3::STARD3	Adenocarcinoma
ABI3::TSPOAP1	Mature B-cell neoplasm, NOS
ABI3BP::EXT2	Undifferentiated carcinoma, small cell
ABI3BP::IMPG2	Adenocarcinoma
ABI3BP::NBPF9	Adenocarcinoma
ABI3BP::RET	Adenocarcinoma
ABL1::ADAMTSL2	Adenocarcinoma
ABL1::AIF1L	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ABL1::ANXA4	Adenocarcinoma
ABL1::APBA1	Adenocarcinoma
ABL1::BCR	Acute myeloid leukemia, NOS | Skin
ABL1::BRD3	Adenocarcinoma
ABL1::CBFB	Astrocytoma, grade III-IV/Glioblastoma
ABL1::DDX27	Transitional cell carcinoma
ABL1::EXOSC2	Squamous cell carcinoma
ABL1::FUBP3	Adenocarcinoma
ABL1::KYAT1	Squamous cell carcinoma
ABL1::NHERF1	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ABL1::NUP214	Acute lymphoblastic leukemia/lymphoblastic lymphoma | Adenocarcinoma
ABL1::PRDM12	Adenocarcinoma
ABL1::PRRC2B	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ABL1::PTPRN2	Mesenchymal tumor, NOS
ABL1::SLC38A10	Adenocarcinoma
ABL1::SZRD1	Astrocytoma, grade III-IV/Glioblastoma
ABL2::GPR161	Squamous cell carcinoma
ABL2::KCNH1	Adenocarcinoma
ABL2::XRRA1	Transitional cell carcinoma
ABLIM1::PDE6B	Adenocarcinoma
ABLIM1::PTCD2	Adenocarcinoma
ABLIM2::PPP2R2C	Transitional cell carcinoma
ABLIM3::TRPM8	Squamous cell carcinoma
ABO::HTR3B	Mesothelioma
ABR::ACAD10	Transitional cell carcinoma
ABR::ADGRB1	Adenocarcinoma
ABR::ASPA	Adenocarcinoma
ABR::CLUH	Adenocarcinoma
ABR::CRK	Adenocarcinoma
ABR::DNAH2	Osteosarcoma, NOS
ABR::GAS7	Squamous cell carcinoma
ABR::GEMIN4	Adenocarcinoma
ABR::MAN2B1	Astrocytoma, grade I-II
ABR::PITPNA	Germ cell tumor, NOS | Adenocarcinoma
ABR::RTN4RL1	Transitional cell carcinoma
ABR::STAP2	Adenocarcinoma
ABR::YWHAE	Skin | Malignant melanoma | Astrocytoma, grade III-IV/Glioblastoma | Adenocarcinoma | Acute myeloid leukemia, NOS | Astrocytoma, grade I-II
ABRACL::MAP3K5	Squamous cell carcinoma
ABRACL::PERP	Adenocarcinoma
ABRAXAS1::HELQ	Nonneoplastic hematologic disorder/lesion | Nonneoplastic epithelial disorder/lesion
ABTB2::APIP	Adenocarcinoma
ABTB2::ATXN3	Adenocarcinoma
ABTB2::KDM2A	Adenocarcinoma
ABTB2::LMO2	Adenocarcinoma
ABTB2::NDUFB1	Adenocarcinoma
ABTB2::TYR	Adenocarcinoma
ABTB3::CMKLR1	Mesenchymal tumor, NOS
ACAA2::MYO5B	Adenocarcinoma
ACACA::ADAM9	Transitional cell carcinoma
ACACA::ASIC2	Adenocarcinoma
ACACA::CCDC192	Squamous cell carcinoma
ACACA::DDX52	Adenocarcinoma
ACACA::GLIPR1L2	Mesenchymal tumor, NOS
ACACA::GSDMB	Adenocarcinoma
ACACA::HTRA4	Transitional cell carcinoma
ACACA::LASP1	Adenocarcinoma
ACACA::LGALS9	Adenocarcinoma
ACACA::MED1	Adenocarcinoma
ACACA::MED24	Adenocarcinoma
ACACA::METTL25	Mesenchymal tumor, NOS
ACACA::MGME1	Adenocarcinoma
ACACA::MMP28	Adenocarcinoma
ACACA::PRKCA	Adenocarcinoma
ACACA::RARA	Adenocarcinoma
ACACA::SGTB	Adenocarcinoma
ACACA::SRCIN1	Adenocarcinoma
ACACA::SSH2	Adenocarcinoma
ACACA::STAC2	Adenocarcinoma
ACACA::SYNRG	Adenocarcinoma
ACACA::TADA2A	Transitional cell carcinoma
ACACA::TANC2	Adenocarcinoma
ACACA::VCF1	Adenocarcinoma
ACACB::UNG	Malignant melanoma
ACAD10::MAPKAPK5	Acute promyelocytic leukemia (FAB type M3)
ACAD11::ABCE1	Mesenchymal tumor, NOS
ACAD11::TRAPPC13	Adenocarcinoma
ACAD9::CFAP92	Astrocytoma, grade I-II
ACAD9::RAB7A	Adenocarcinoma
ACADM::FOXJ3	Squamous cell carcinoma
ACADS::GTPBP10	Adenocarcinoma
ACADS::PRKAB1	Adenocarcinoma
ACADVL::CD74	Squamous cell carcinoma
ACAP2::APOD	Adenocarcinoma
ACAP2::ATP13A3	Squamous cell carcinoma
ACAP2::ATP5MF	Adenocarcinoma
