fusionTranscriptID	fusionGeneID	breakpointID	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
TRPM7::SPPL2A__15:50686531-15:50749746	TRPM7::SPPL2A	15:50686531-15:50749746	-	-	CDS/splice-site	CDS/splice-site	duplication	high	TCGA-A7-A0CE	Arriba
BOLA2B::SMG1P5__16:30193358-16:30288681	BOLA2B::SMG1P5	16:30193358-16:30288681	-	-	CDS/splice-site	exon	duplication	high	TCGA-A7-A0CE	Arriba
FBXO25::SEPTIN14__8:435707-7:55796092	FBXO25::SEPTIN14	8:435707-7:55796092	+	-	CDS/splice-site	CDS/splice-site	translocation	high	TCGA-A7-A0CE	Arriba
TVP23C::CDRT4__17:15503098-17:15440285	TVP23C::CDRT4	17:15503098-17:15440285	-	-	CDS	5'UTR/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
TVP23C::CDRT4__17:15540433-17:15440285	TVP23C::CDRT4	17:15540433-17:15440285	-	-	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
PCDHGB2::PCDHGC5__5:141362556-5:141494807	PCDHGB2::PCDHGC5	5:141362556-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
PCDHA4::PCDHAC2__5:140809572-5:140978949	PCDHA4::PCDHAC2	5:140809572-5:140978949	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
PCDHA11::PCDHAC2__5:140871494-5:140978949	PCDHA11::PCDHAC2	5:140871494-5:140978949	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
PCDHA3::PCDHAC2__5:140803591-5:140978949	PCDHA3::PCDHAC2	5:140803591-5:140978949	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
PCDHA10::PCDHAC2__5:140858436-5:140978949	PCDHA10::PCDHAC2	5:140858436-5:140978949	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
PCDHGA5::PCDHGC5__5:141366751-5:141494807	PCDHGA5::PCDHGC5	5:141366751-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CE	Arriba
FAM189A2(15543),APBA1(19431)::APBA1__9:69408101-9:69455051	FAM189A2(15543),APBA1(19431)::APBA1	9:69408101-9:69455051	.	.	intergenic	intron	deletion/read-through	low	TCGA-A7-A0CE	Arriba
RBM14::RBM4__11:66617057-11:66646027	RBM14::RBM4	11:66617057-11:66646027	+	+	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
RBM14::RBM4__11:66617057-11:66639700	RBM14::RBM4	11:66617057-11:66639700	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
STX16::NPEPL1__20:58673711-20:58691034	STX16::NPEPL1	20:58673711-20:58691034	+	+	CDS/splice-site	intron	deletion/read-through	low	TCGA-A7-A0CE	Arriba
STX16::NPEPL1__20:58673711-20:58691724	STX16::NPEPL1	20:58673711-20:58691724	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
AC079781.4::ASNS__7:97928082-7:97872449	AC079781.4::ASNS	7:97928082-7:97872449	-	-	exon/splice-site	5'UTR	deletion/read-through	low	TCGA-A7-A0CE	Arriba
ZNF559::ZNF177__19:9341184-19:9364862	ZNF559::ZNF177	19:9341184-19:9364862	+	+	CDS/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
AC092807.3::DDAH1__1:85496166-1:85358847	AC092807.3::DDAH1	1:85496166-1:85358847	-	-	exon/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
CRYZL2P::SEC16B__1:178026155-1:177968039	CRYZL2P::SEC16B	1:178026155-1:177968039	-	-	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
CRYZL2P::SEC16B__1:178022440-1:177968039	CRYZL2P::SEC16B	1:178022440-1:177968039	-	-	exon/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
RNF103::CHMP3__2:86620330-2:86542312	RNF103::CHMP3	2:86620330-2:86542312	-	-	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
PSMA3-AS1::ACTR10__14:58285591-14:58219532	PSMA3-AS1::ACTR10	14:58285591-14:58219532	-	-	exon/splice-site	exon	deletion/read-through/5'-5'	low	TCGA-A7-A0CE	Arriba
CTSC::RAB38__11:88300595-11:88175241	CTSC::RAB38	11:88300595-11:88175241	-	-	CDS	CDS	deletion/read-through	low	TCGA-A7-A0CE	Arriba
SOGA3::KIAA0408__6:127473080-6:127454101	SOGA3::KIAA0408	6:127473080-6:127454101	-	-	3'UTR	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
IGH@-ext::GRAMD1B__14:106335083-11:123330402	IGH@-ext::GRAMD1B	14:106335083-11:123330402	-	+	exon	intergenic	translocation	low	TCGA-A7-A0CE	Arriba
SIRPA::SIRPB1__20:1915125-20:1611669	SIRPA::SIRPB1	20:1915125-20:1611669	+	-	CDS	CDS	inversion	low	TCGA-A7-A0CE	Arriba
PPP4R4::SERPINA10(3727),SERPINA6(7253)__14:94275522-14:94296995	PPP4R4::SERPINA10(3727),SERPINA6(7253)	14:94275522-14:94296995	+	+	intron	intergenic	deletion/read-through	low	TCGA-A7-A0CE	Arriba
MTCH2::MED15__11:47635544-22:20500792	MTCH2::MED15	11:47635544-22:20500792	-	-	intron	5'UTR	translocation/5'-5'	low	TCGA-A7-A0CE	Arriba
PCDHGA6::PCDHGC5__5:141376507-5:141494807	PCDHGA6::PCDHGC5	5:141376507-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
SMN2::NAIPP2__5:70071390-5:70120305	SMN2::NAIPP2	5:70071390-5:70120305	+	+	3'UTR/splice-site	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0CE	Arriba
CCDC169::SOHLH2__13:36227348-13:36202093	CCDC169::SOHLH2	13:36227348-13:36202093	-	-	CDS	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
CCDC169::SOHLH2__13:36248606-13:36202093	CCDC169::SOHLH2	13:36248606-13:36202093	-	-	CDS/splice-site	CDS/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
GCC2-AS1::RGPD4__2:108228739-2:107890286	GCC2-AS1::RGPD4	2:108228739-2:107890286	-	-	intergenic	intron	deletion/read-through/5'-5'	low	TCGA-A7-A0CE	Arriba
PIK3C2G::PLCZ1__12:18645927-12:18696150	PIK3C2G::PLCZ1	12:18645927-12:18696150	+	+	intron	CDS	deletion/read-through/5'-5'	low	TCGA-A7-A0CE	Arriba
TWIST1::HDAC9__7:19055281-7:19001250	TWIST1::HDAC9	7:19055281-7:19001250	-	-	intron	3'UTR	deletion/read-through/5'-5'	low	TCGA-A7-A0CE	Arriba
HCG22::AL645929.1__6:31059797-6:29888179	HCG22::AL645929.1	6:31059797-6:29888179	-	+	exon	exon	inversion	low	TCGA-A7-A0CE	Arriba
SLC35E2A::CDK11B__1:1732448-1:1657498	SLC35E2A::CDK11B	1:1732448-1:1657498	-	-	exon	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CE	Arriba
CCHCR1::HLA-L__6:31145759-6:30261458	CCHCR1::HLA-L	6:31145759-6:30261458	-	+	CDS	exon	inversion	low	TCGA-A7-A0CE	Arriba
AC015922.2::MEIS3__17:15559467-19:47403180	AC015922.2::MEIS3	17:15559467-19:47403180	-	+	intergenic	3'UTR	translocation/5'-5'	low	TCGA-A7-A0CE	Arriba
RNU6-1::CRIP1__15:67839939-14:105487289	RNU6-1::CRIP1	15:67839939-14:105487289	-	+	exon/splice-site	CDS	translocation	high	TCGA-A7-A0CH	Arriba
TVP23C::CDRT4__17:15516419-17:15440285	TVP23C::CDRT4	17:15516419-17:15440285	-	-	3'UTR/splice-site	5'UTR/splice-site	deletion/read-through	low	TCGA-A7-A0CH	Arriba
AC239801.1(30217),GJA8(30219)::GJA5__1:147872576-1:147759271	AC239801.1(30217),GJA8(30219)::GJA5	1:147872576-1:147759271	-	-	intergenic	5'UTR/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
PCDHGA2::PCDHGA8__5:141341395-5:141494807	PCDHGA2::PCDHGA8	5:141341395-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
PCDHA6::PCDHAC2__5:140830485-5:140978949	PCDHA6::PCDHAC2	5:140830485-5:140978949	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
PCDHGA3::PCDHGA8__5:141346457-5:141494807	PCDHGA3::PCDHGA8	5:141346457-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
PCDHGA4::PCDHGA8__5:141357621-5:141494807	PCDHGA4::PCDHGA8	5:141357621-5:141494807	+	+	CDS	CDS/splice-site	deletion/read-through	medium	TCGA-A7-A0CH	Arriba
