fusionTranscriptID	fusionGenePair	breakpointID	5pStrand	3pStrand	junctionReads	spanningReads	TCGACancerCode	TCGASampleID
RHOF::HEXDC__12:121801707-17:82440997	RHOF::HEXDC	12:121801707-17:82440997	-	+	51	268	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
PRLR::CLPTM1L__5:35230268-5:1318453	PRLR::CLPTM1L	5:35230268-5:1318453	-	-	22	103	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
KCTD5::TSC2__16:2697997-16:2086193	KCTD5::TSC2	16:2697997-16:2086193	+	+	24	59	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
NCAPD2::MRPL48__12:6494154-11:73805027	NCAPD2::MRPL48	12:6494154-11:73805027	+	+	23	51	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
DAB2::ARSB__5:39392365-5:78969192	DAB2::ARSB	5:39392365-5:78969192	-	-	13	59	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
TBCA::ARSB__5:77708242-5:78839426	TBCA::ARSB	5:77708242-5:78839426	-	-	5	16	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
DAB2::COL4A3BP__5:39424804-5:75459181	DAB2::COL4A3BP	5:39424804-5:75459181	-	-	4	18	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
TBCD::GLIPR2__17:82884202-9:36147786	TBCD::GLIPR2	17:82884202-9:36147786	+	+	3	15	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
C9::COL4A3BP__5:39424804-5:75459181	C9::COL4A3BP	5:39424804-5:75459181	-	-	4	10	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
CWC27::PLPP1__5:64885546-5:55426039	CWC27::PLPP1	5:64885546-5:55426039	+	-	5	5	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
DYNC1I1::ASB4__7:95869998-7:95495758	DYNC1I1::ASB4	7:95869998-7:95495758	+	+	4	9	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
UIMC1::DBN1__5:176943335-5:177468899	UIMC1::DBN1	5:176943335-5:177468899	-	-	3	13	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
KMT2A::ATP5L__11:118482495-11:118431024	KMT2A::ATP5L	11:118482495-11:118431024	+	+	2	15	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
MIER3::KIF2A__5:56935428-5:62385484	MIER3::KIF2A	5:56935428-5:62385484	-	+	3	9	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
RBM14::BBS1__11:66618561-11:66515540	RBM14::BBS1	11:66618561-11:66515540	+	+	1	17	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
HNRNPUL1::CLIP3__19:41268345-19:36032766	HNRNPUL1::CLIP3	19:41268345-19:36032766	+	-	1	11	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
NRG4::SCNN1D__15:76009200-1:1290477	NRG4::SCNN1D	15:76009200-1:1290477	-	+	1	9	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
TNPO1::MEF2C__5:72816752-5:88761328	TNPO1::MEF2C	5:72816752-5:88761328	+	-	2	3	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
PAPD4::GPBP1__5:79613075-5:57175448	PAPD4::GPBP1	5:79613075-5:57175448	+	+	1	5	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
GIGYF2::HSCB__2:232794944-22:28751241	GIGYF2::HSCB	2:232794944-22:28751241	+	+	1	3	ACC	TCGA-OR-A5J1-01A-11R-A29S-07
